DAY_HOUR,raw,diff,precip,label
09-13,0.106,-0.0010000000000000009,0.0,0
09-14,0.106,0.0,0.0,0
09-15,0.106,0.0,0.0,0
09-16,0.105,-0.0010000000000000009,0.0,0
09-17,0.10400000000000001,-0.000999999999999987,0.0,0
09-18,0.10400000000000001,0.0,0.0,0
09-19,0.10400000000000001,0.0,0.0,0
09-20,0.10300000000000001,-0.0010000000000000009,0.0,0
09-21,0.10300000000000001,0.0,0.0,0
09-22,0.10300000000000001,0.0,0.0,0
09-23,0.10300000000000001,0.0,0.0,0
10-00,0.10300000000000001,0.0,0.0,0
10-01,0.10300000000000001,0.0,0.0,0
10-02,0.102,-0.0010000000000000148,0.0,0
10-03,0.102,0.0,0.0,0
10-04,0.102,0.0,0.0,0
10-05,0.102,0.0,0.0,0
10-06,0.102,0.0,0.0,0
10-07,0.102,0.0,0.0,0
10-08,0.102,0.0,0.0,0
10-09,0.10099999999999999,-0.0010000000000000009,0.0,0
10-10,0.10099999999999999,0.0,0.0,0
10-11,0.10099999999999999,0.0,0.0,0
10-12,0.10099999999999999,0.0,0.0,0
10-13,0.10099999999999999,0.0,0.0,0
10-14,0.10099999999999999,0.0,0.2,0
10-15,0.10099999999999999,0.0,0.0,0
10-16,0.934,0.8330000000000001,0.0,1
10-17,0.9059999999999999,-0.028000000000000136,0.0,0
10-18,0.1,-0.8059999999999999,0.0,0
10-19,0.1,0.0,0.0,0
10-20,0.1,0.0,0.0,0
10-21,0.1,0.0,0.0,0
10-22,0.1,0.0,0.0,0
10-23,0.099,-0.0010000000000000009,0.0,0
11-00,0.099,0.0,0.0,0
11-01,0.099,0.0,0.0,0
11-02,0.099,0.0,0.0,0
11-03,0.099,0.0,0.0,0
11-04,0.099,0.0,0.3,0
11-05,0.099,0.0,0.0,0
11-06,0.099,0.0,0.0,0
11-07,0.099,0.0,0.0,0
11-08,0.099,0.0,0.0,0
11-09,0.099,0.0,0.0,0
11-10,0.099,0.0,0.0,0
11-11,0.099,0.0,0.0,0
